Afkorting;Xdock;Straat;Huisnummer;Postcode;Plaats;Land;Lat;Lon
XASD;Crossdock Amsterdam;Bornhout;5;1046PP;Amsterdam;NL;52.396634;4.79208
TL;Crossdock Tiel;Hoekwei;6;4004LX;Tiel;NL;51.907948;5.454875
ZBM;Extern Zaltbommel;Doornpol;11;5301LV;Zaltbommel;NL;51.803196;5.270147
XWW;Waalwijk;Kloosterheulweg;1;5145NZ;Waalwijk;NL;51.696868;5.071328
ZWD;Zeewolde;Fabricageweg;10;3899AV;Zeewolde;NL;52.361042;5.512936
NIWG;Nieuwegein;Mobilisatiedok;4;3439JG;Nieuwegein;NL;52.0216322;5.1185154
AMF;Amersfoort;De Windturbine;8;3815KB;Amersfoort;NL;52.1654698;5.4241968
HT;Den Bosch;Ketelaarskampweg;4;5222AL;Den Bosch;NL;51.70327;5.27349
WVN;Waddinxveen;Overslagweg;2;2742RJ;Waddinxveen;NL;52.016166;4.6414874
