DEPOT,Lat,Long,Postcode,floorcap,pluscap,min_starttime,Eind
DEPALM,52.3189702,5.3149932,1358CD,450,338,5:30:00 PM,4:00:00 AM
DEPAME ,52.1654698,5.4241968,3815KP,275,206,3:00:00 PM,3:00:00 AM
DEPAPE ,52.1746027,5.9646215,7333NR,450,338,5:30:00 PM,1:45:00 AM
DEPAMS,52.3235926,4.927341,1114AN,275,206,5:30:00 PM,1:45:00 AM
DEPBRE ,51.6030458,4.760265,4824AP,275,206,5:30:00 PM,3:00:00 AM
DEPBOR ,51.0694973,5.8183487,6121RE,275,206,4:30:00 PM,2:00:00 AM
DEPDOR ,51.7744511,4.6404013,3316BZ,450,338,5:30:00 PM,12:00:00 AM
DEPELT ,51.9138478,5.861801,6662NG,275,206,5:30:00 PM,2:00:00 AM
DEPGOE ,51.4845831,3.889807,4462HB,275,206,5:30:00 PM,12:45:00 AM
DEPDEN ,52.00503,4.31823,2635DK,275,206,5:30:00 PM,1:30:00 AM
DEPHEN ,52.2458711,6.7826229,7554RR,275,206,5:30:00 PM,2:15:00 AM
DEPHER ,51.70327,5.27349,5222AL,275,206,5:30:00 PM,3:30:00 AM
DEPHAL ,52.3831142,4.6960813,1165AA,275,206,5:30:00 PM,12:30:00 AM
DEPKOL ,53.1709218,6.7476953,9615TP,275,206,3:00:00 PM,12:00:00 AM
DEPLEE ,53.1841132,5.7537348,8912BL,275,206,3:00:00 PM,11:30:00 PM
DEPNIE ,52.0216322,5.1185154,3439JG,275,206,5:30:00 PM,2:45:00 AM
DEPOPM ,52.7122949,4.9575524,1716KJ,275,206,4:00:00 PM,12:00:00 AM
DEPRID ,51.8765148,4.5617365,2988CK,275,206,5:30:00 PM,1:45:00 AM
DEPSON ,51.5016951,5.4810853,5692CK,275,206,5:30:00 PM,1:30:00 AM
DEPSAS ,52.2135863,4.4970323,2171TX,275,206,5:30:00 PM,1:15:00 AM
DEPTIL,51.584396,5.04426,5048AD,450,338,5:30:00 PM,4:00:00 AM
DEPUTR ,52.118867,5.0633137,3542AR,450,338,5:30:00 PM,2:30:00 AM
DEPVEN ,51.4089151,6.0994531,5928SC,450,338,5:30:00 PM,1:30:00 AM
DEPWVN ,52.016166,4.6414874,2742RJ,275,206,5:30:00 PM,3:30:00 AM
DEPZWO ,52.4941009,6.1386077,8013RJ,275,206,5:30:00 PM,1:30:00 AM
DEPWZN,52.430087,4.771051,1551ND,450,338,5:30:00 PM,1:00:00 AM
DEPWIL,51.047796,4.36779,2830,450,338,7:30:00 PM,4:00:00 AM
DEPHGV,52.711393,6.505189,7905SJ,1200,300,5:30:00 PM,1:00:00 AM
