,DEPOT,beginTimes_str_x,beginTimes_str_y,state,DEPOT2,#Pakketten gerealiseerd (max),#Pakketten_NMG
0,DEPOT ALMERE,17:30:00,02:45:00,10,ALM,71098.0,1493.0
1,DEPOT AMERSFOORT,15:00:00,02:45:00,5,AME,43236.0,646.0
2,DEPOT AMSTERDAM ZUIDOOST,17:30:00,00:30:00,10,AMS,53726.0,2017.0
3,DEPOT APELDOORN,17:45:00,00:45:00,10,APE,53770.0,1493.0
4,DEPOT BORN,17:45:00,00:15:00,6,BOR,29741.0,759.0
5,DEPOT BREDA,19:30:00,02:45:00,4,BRE,22234.0,569.0
6,DEPOT DEN HOORN,18:00:00,00:30:00,6,DEN,29917.0,744.0
7,DEPOT DORDRECHT,17:30:00,22:30:00,10,DOR,38344.0,1309.0
8,DEPOT ELST,17:45:00,00:45:00,7,ELT,37625.0,1470.0
9,DEPOT GOES,17:30:00,17:30:00,0,GOE,0.0,0.0
10,DEPOT HALFWEG,17:30:00,22:30:00,4,HAL,15250.0,497.0
11,DEPOT HENGELO,19:30:00,00:45:00,7,HEN,28137.0,698.0
12,DEPOT DEN BOSCH,17:30:00,02:00:00,10,HER,65266.0,3130.0
13,DEPOT KOLHAM,18:45:00,23:45:00,10,KOL,38311.0,1297.0
14,DEPOT LEEUWARDEN,17:30:00,22:30:00,10,LEE,37706.0,909.0
15,DEPOT NIEUWEGEIN,17:45:00,01:45:00,6,NIE,36876.0,1261.0
16,DEPOT OPMEER,18:00:00,23:00:00,7,OPM,26892.0,672.0
17,DEPOT RIDDERKERK,17:30:00,00:45:00,10,RID,55569.0,1611.0
18,DEPOT SASSENHEIM,17:30:00,17:30:00,0,SAS,0.0,0.0
19,DEPOT SON,17:30:00,00:30:00,10,SON,53778.0,1775.0
20,DEPOT TILBURG,19:15:00,03:00:00,6,TIL,35456.0,829.0
21,DEPOT UTRECHT,17:45:00,02:15:00,6,UTR,38971.0,934.0
22,DEPOT VENLO,17:30:00,22:30:00,10,VEN,38420.0,519.0
23,DEPOT WILLEBROEK,20:00:00,03:45:00,6,WIL,35339.0,897.0
24,DEPOT WADDINXVEEN,17:30:00,01:30:00,10,WVN,61489.0,1444.0
25,DEPOT ZWOLLE,17:45:00,01:15:00,6,ZWO,34579.0,1138.0
