,beginTimes_str,endTimes_str,beginTimes_time,endTimes_time,t
0,06:00:00,06:15:00,06:00:00,06:15:00,100
1,06:15:00,06:30:00,06:15:00,06:30:00,101
2,06:30:00,06:45:00,06:30:00,06:45:00,102
3,06:45:00,07:00:00,06:45:00,07:00:00,103
4,07:00:00,07:15:00,07:00:00,07:15:00,104
5,07:15:00,07:30:00,07:15:00,07:30:00,105
6,07:30:00,07:45:00,07:30:00,07:45:00,106
7,07:45:00,08:00:00,07:45:00,08:00:00,107
8,08:00:00,08:15:00,08:00:00,08:15:00,108
9,08:15:00,08:30:00,08:15:00,08:30:00,109
10,08:30:00,08:45:00,08:30:00,08:45:00,110
11,08:45:00,09:00:00,08:45:00,09:00:00,111
12,09:00:00,09:15:00,09:00:00,09:15:00,112
13,09:15:00,09:30:00,09:15:00,09:30:00,113
14,09:30:00,09:45:00,09:30:00,09:45:00,114
15,09:45:00,10:00:00,09:45:00,10:00:00,115
16,10:00:00,10:15:00,10:00:00,10:15:00,116
17,10:15:00,10:30:00,10:15:00,10:30:00,117
18,10:30:00,10:45:00,10:30:00,10:45:00,118
19,10:45:00,11:00:00,10:45:00,11:00:00,119
20,11:00:00,11:15:00,11:00:00,11:15:00,120
21,11:15:00,11:30:00,11:15:00,11:30:00,121
22,11:30:00,11:45:00,11:30:00,11:45:00,122
23,11:45:00,12:00:00,11:45:00,12:00:00,123
24,12:00:00,12:15:00,12:00:00,12:15:00,124
25,12:15:00,12:30:00,12:15:00,12:30:00,125
26,12:30:00,12:45:00,12:30:00,12:45:00,126
27,12:45:00,13:00:00,12:45:00,13:00:00,127
28,13:00:00,13:15:00,13:00:00,13:15:00,128
29,13:15:00,13:30:00,13:15:00,13:30:00,129
30,13:30:00,13:45:00,13:30:00,13:45:00,130
31,13:45:00,14:00:00,13:45:00,14:00:00,131
32,14:00:00,14:15:00,14:00:00,14:15:00,132
33,14:15:00,14:30:00,14:15:00,14:30:00,133
34,14:30:00,14:45:00,14:30:00,14:45:00,134
35,14:45:00,15:00:00,14:45:00,15:00:00,135
36,15:00:00,15:15:00,15:00:00,15:15:00,136
37,15:15:00,15:30:00,15:15:00,15:30:00,137
38,15:30:00,15:45:00,15:30:00,15:45:00,138
39,15:45:00,16:00:00,15:45:00,16:00:00,139
40,16:00:00,16:15:00,16:00:00,16:15:00,140
41,16:15:00,16:30:00,16:15:00,16:30:00,141
42,16:30:00,16:45:00,16:30:00,16:45:00,142
43,16:45:00,17:00:00,16:45:00,17:00:00,143
44,17:00:00,17:15:00,17:00:00,17:15:00,144
45,17:15:00,17:30:00,17:15:00,17:30:00,145
46,17:30:00,17:45:00,17:30:00,17:45:00,146
47,17:45:00,18:00:00,17:45:00,18:00:00,147
48,18:00:00,18:15:00,18:00:00,18:15:00,148
49,18:15:00,18:30:00,18:15:00,18:30:00,149
50,18:30:00,18:45:00,18:30:00,18:45:00,150
51,18:45:00,19:00:00,18:45:00,19:00:00,151
52,19:00:00,19:15:00,19:00:00,19:15:00,152
53,19:15:00,19:30:00,19:15:00,19:30:00,153
54,19:30:00,19:45:00,19:30:00,19:45:00,154
55,19:45:00,20:00:00,19:45:00,20:00:00,155
56,20:00:00,20:15:00,20:00:00,20:15:00,156
57,20:15:00,20:30:00,20:15:00,20:30:00,157
58,20:30:00,20:45:00,20:30:00,20:45:00,158
59,20:45:00,21:00:00,20:45:00,21:00:00,159
60,21:00:00,21:15:00,21:00:00,21:15:00,160
61,21:15:00,21:30:00,21:15:00,21:30:00,161
62,21:30:00,21:45:00,21:30:00,21:45:00,162
63,21:45:00,22:00:00,21:45:00,22:00:00,163
64,22:00:00,22:15:00,22:00:00,22:15:00,164
65,22:15:00,22:30:00,22:15:00,22:30:00,165
66,22:30:00,22:45:00,22:30:00,22:45:00,166
67,22:45:00,23:00:00,22:45:00,23:00:00,167
68,23:00:00,23:15:00,23:00:00,23:15:00,168
69,23:15:00,23:30:00,23:15:00,23:30:00,169
70,23:30:00,23:45:00,23:30:00,23:45:00,170
71,23:45:00,00:00:00,23:45:00,00:00:00,171
72,00:00:00,00:15:00,00:00:00,00:15:00,172
73,00:15:00,00:30:00,00:15:00,00:30:00,173
74,00:30:00,00:45:00,00:30:00,00:45:00,174
75,00:45:00,01:00:00,00:45:00,01:00:00,175
76,01:00:00,01:15:00,01:00:00,01:15:00,176
77,01:15:00,01:30:00,01:15:00,01:30:00,177
78,01:30:00,01:45:00,01:30:00,01:45:00,178
79,01:45:00,02:00:00,01:45:00,02:00:00,179
80,02:00:00,02:15:00,02:00:00,02:15:00,180
81,02:15:00,02:30:00,02:15:00,02:30:00,181
82,02:30:00,02:45:00,02:30:00,02:45:00,182
83,02:45:00,03:00:00,02:45:00,03:00:00,183
84,03:00:00,03:15:00,03:00:00,03:15:00,184
85,03:15:00,03:30:00,03:15:00,03:30:00,185
86,03:30:00,03:45:00,03:30:00,03:45:00,186
87,03:45:00,04:00:00,03:45:00,04:00:00,187
88,04:00:00,04:15:00,04:00:00,04:15:00,188
89,04:15:00,04:30:00,04:15:00,04:30:00,189
90,04:30:00,04:45:00,04:30:00,04:45:00,190
91,04:45:00,05:00:00,04:45:00,05:00:00,191
92,05:00:00,05:15:00,05:00:00,05:15:00,192
93,05:15:00,05:30:00,05:15:00,05:30:00,193
94,05:30:00,05:45:00,05:30:00,05:45:00,194
95,05:45:00,06:00:00,05:45:00,06:00:00,195
