Depotnaam1;Depotnaam2;Depotnaam3;Depotnaam4
ALR;ALM;DEPOT ALMERE;Almere
AMF;AME;DEPOT AMERSFOORT;Amersfoort
AP;APE;DEPOT APELDOORN;Apeldoorn
ASD;AMS;DEPOT AMSTERDAM ZUIDOOST;Amsterdam
BD;BRE;DEPOT BREDA;Breda
BORN;BOR;DEPOT BORN;Born
DDT;DOR;DEPOT DORDRECHT;Dordrecht
ELT;ELT;DEPOT ELST;Elst
GS;GOE;DEPOT GOES;Goes
HBD;DEN;DEPOT DEN HOORN;Den Hoorn
HGL;HEN;DEPOT HENGELO;Hengelo
HT;HER;DEPOT DEN BOSCH;Den Bosch
HW;HAL;DEPOT HALFWEG;Halfweg
KHM;KOL;DEPOT KOLHAM;Kolham
LW;LEE;DEPOT LEEUWARDEN;Leeuwarden
NIWG;NIE;DEPOT NIEUWEGEIN;Nieuwegein
OPM;OPM;DEPOT OPMEER;Opmeer
RD;RID;DEPOT RIDDERKERK;Ridderkerk
SKP;SKP;SKP;SKP
SON;SON;DEPOT SON;Son
SSH;SAS;DEPOT SASSENHEIM;Sassenheim
TB;TIL;DEPOT TILBURG;Tilburg
UT;UTR;DEPOT UTRECHT;Utrecht
VL;VEN;DEPOT VENLO;Venlo
WVN;WVN;DEPOT WADDINXVEEN;Waddinxveen
ZL;ZWO;DEPOT ZWOLLE;Zwolle
WZN;WZN;DEPOT WESTZAAN;Westzaan
WB;WIL;DEPOT WILLEBROEK;Willebroek
MECH;MECH;MECHELEN;Mechelen
DTD;DTD;DESTELDONK;Desteldonk
WML;WML;WOMMELGEM;Wommelgem
VIL;VIL;VILVOORDE;Vilvoorde
OEV;OEV;OEVEL;Oevel
ARD;ARD;ARDOOIE;Ardooie
SNI;SNI;SINT-NIKLAAS;Sint-Niklaas
STT;STT;SINT-TRUIDEN;Sint-Truiden
NAM;NAM;NAMEN;Namen
AL;AL;DCP ALPHEN;DCP Alphen
ASN;ASN;DCP ASSEN;DCP Assen
HGV;HGV;DEPOT HOOGEVEEN;Hoogeveen
